Unique Identifier,Set Number,Date and Time,﻿Folder & Position (f#p#),Prints (#),Negatives (#),Other (# and describe),Faces (#),Annotation - Front,Annotation - Back,Description for Negative,Neg. Pos.,,,,,,,,,,,,,,,
14-1-P,14,1940-09-24-PM-04:37,f5p9,1,0,,2,"TL: ""Street Shots - Prod. #281-14""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BL: ""Ranch (Maybe) \n ?""; BR: ""SEP 24 '40 PM"" and clock timestamp showing 04:37",,,,,,,,,,,,,,,,,
14-1-N,14,1940-09-24-PM-04:37,f5p9,0,1,,1,"TL: ""Street Shots - Prod. #281-14""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BL: ""Ranch (Maybe) \n ?""; BR: ""SEP 24 '40 PM"" and clock timestamp showing 04:37",,,,,,,,,,,,,,,,,
15-1-P,15,1940-08,f2p10,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
15-1-N,15,1940-08,f2p10,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
15-2-P,15,1940-08,f2p11,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
15-2-N,15,1940-08,f2p11,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
15-3-P,15,1940-08,f2p12,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
15-3-N,15,1940-08,f2p12,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
15-4-P,15,1940-08,f3p1 ,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
15-4-N,15,1940-08,f3p1 ,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
15-5-P,15,1940-08,f3p16,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
15-5-N,15,1940-08,f3p16,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
15-6-P,15,1940-09,f2p6,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""9-40""",,,,,,,,,,,,,,,,,
15-6-N,15,1940-09,f2p6,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""9-40""",,,,,,,,,,,,,,,,,
15-7-P,15,1940-09,f3p12,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""9-40""",,,,,,,,,,,,,,,,,
15-7-N,15,1940-09,f3p12,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""9-40""",,,,,,,,,,,,,,,,,
15-8-P,15,1940-09,f3p18,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; C: drawn number ""4""; BR: ""9-40""",,,,,,,,,,,,,,,,,
15-8-N,15,1940-09,f3p18,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; C: drawn number ""4""; BR: ""9-40""",,,,,,,,,,,,,,,,,
15-9-P,15,1940-09-03-AM-08:35,f2p8,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 3 '40 AM""; clock time stamp showing 8:35",,,,,,,,,,,,,,,,,
15-9-N,15,1940-09-03-AM-08:35,f2p8,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 3 '40 AM""; clock time stamp showing 8:35",,,,,,,,,,,,,,,,,
15-10-P,15,1940-09-03-AM-08:35,f5p10,1,0,,2,"TL: ""2nd Floor Enquirer Bldg. - Prod. #281-15""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 3 '40 AM"" and clock timestamp showing 08:35",,,,,,,,,,,,,,,,,
15-10-N,15,1940-09-03-AM-08:35,f5p10,0,1,,1,"TL: ""2nd Floor Enquirer Bldg. - Prod. #281-15""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 3 '40 AM"" and clock timestamp showing 08:35",,,,,,,,,,,,,,,,,
15-11-P,15,1940-09-05-PM-05:50,f2p2,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 5 '40 PM""; clock time stamp showing 5:50",,,,,,,,,,,,,,,,,
15-11-N,15,1940-09-05-PM-05:50,f2p2,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 5 '40 PM""; clock time stamp showing 5:50",,,,,,,,,,,,,,,,,
15-12-P,15,1940-09-05-PM-05:50,f5p4,1,0,,2,"TL: ""2nd Floor Enquirer Bldg - Prod. #281-15""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 5 '40 PM"" and clock timestamp showing 5:50",NY street,,,,,,,,,,,,,,,,
15-13-P,15,1940-09-09-AM-09:04,f3p14,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 9 '40 AM""; clock time stamp showing 9:04",,,,,,,,,,,,,,,,,
15-13-N,15,1940-09-09-AM-09:04,f3p14,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 9 '40 AM""; clock time stamp showing 9:04",,,,,,,,,,,,,,,,,
15-14-P,15,1940-09-09-AM-09:05,f3p7,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 9 '40 AM""; clock time stamp showing 9:05",,,,,,,,,,,,,,,,,
15-14-N,15,1940-09-09-AM-09:05,f3p7,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 9 '40 AM""; clock time stamp showing 9:05",,,,,,,,,,,,,,,,,
15-15-P,15,1940-09-10-AM-08:58,f2p4,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 10 '40 AM""; clock time stamp showing 8:58",,,,,,,,,,,,,,,,,
15-15-N,15,1940-09-10-AM-08:58,f2p4,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 10 '40 AM""; clock time stamp showing 8:58",,,,,,,,,,,,,,,,,
15-16-P,15,1940-09-10-AM-08:58,f3p3,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 10 '40 AM""; clock time stamp showing 8:58",,,,,,,,,,,,,,,,,
15-16-N,15,1940-09-10-AM-08:58,f3p3,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 10 '40 AM""; clock time stamp showing 8:58",,,,,,,,,,,,,,,,,
15-17-P,15,1940-09-10-AM-08:58,f3p5,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 10 '40 AM""; clock time stamp showing 8:58",,,,,,,,,,,,,,,,,
15-17-N,15,1940-09-10-AM-08:58,f3p5,0,1,,1,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 10 '40 AM""; clock time stamp showing 8:58",,,,,,,,,,,,,,,,,
15-18-P,15,1940-09-25-PM-04:28,f4p2,1,0,,2,"TL: ""2nd floor - Enquirer Bldg. - Prod. #281-15""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 25 '40 PM"" and clock timestamp showing 4:28",,,,,,,,,,,,,,,,,
15-19-P,15,1940-09-25-PM-04:30,f2p1,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 25 '40 PM""; clock time stamp showing 4:30",,,,,,,,,,,,,,,,,
15-20-P,15,1940-10,f3p10,1,0,,2,"TL: ""2nd Floor - Qnquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""10-40""",Second floor of the enquirer--pile of stuff ,,,,,,,,,,,,,,,,
15-20-N,15,1940-10,f3p10,0,1,,1,"TL: ""2nd Floor - Qnquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""10-40""",Second floor of the enquirer--pile of stuff ,,,,,,,,,,,,,,,,
20-1-P,20,1940-08,f4p1,1,0,,2,"TL: ""Roof of Hospital- Prod. #281-20""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",Hospital/ matches with f3p20 **Placed together ,,,,,,,,,,,,,,,,
20-1-N,20,1940-08,f4p1,0,1,,1,"TL: ""Roof of Hospital- Prod. #281-20""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",Hospital/ matches with f3p20 **Placed together ,,,,,,,,,,,,,,,,
22-1-P,22,1940-08,f3p21,1,0,,2,"TL: ""Theatre - (1919) - Prod. #281-22"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
22-1-N,22,1940-08,f3p21,0,1,,1,"TL: ""Theatre - (1919) - Prod. #281-22"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
22-2-P,22,1940-08,f3p22,1,0,,2,"TL: ""Theatre - (1919) - Prod. #281-22"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
22-2-N,22,1940-08,f3p22,0,1,,1,"TL: ""Theatre - (1919) - Prod. #281-22"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
22-3-P,22,1940-08,f3p23,1,0,,2,"TL: ""Theatre - (1919) - Prod. #281-22"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",Theater backdrop with castle ,,,,,,,,,,,,,,,,
22-3-N,22,1940-08,f3p23,0,1,,1,"TL: ""Theatre - (1919) - Prod. #281-22"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",Theater backdrop with castle ,,,,,,,,,,,,,,,,
22-4-P,22,1940-08,f3p24,1,0,,2,"TL: ""Theatre - (1919) - Prod. #281-22"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
22-4-N,22,1940-08,f3p24,0,1,,1,"TL: ""Theatre - (1919) - Prod. #281-22"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
29-1-P,29,1940-08-01-PM-02:26,f4p4,1,0,,2,"TL: ""Kane's House - N. Y -(1901-1909) - Prod. #281-29""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""AUG 1 '40 PM"" and clock timestamp showing 2:26",,,,,,,,,,,,,,,,,
29-1-N,29,1940-08-01-PM-02:26,f4p4,0,1,,1,"TL: ""Kane's House - N. Y -(1901-1909) - Prod. #281-29""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""AUG 1 '40 PM"" and clock timestamp showing 2:26",,,,,,,,,,,,,,,,,
29-2-P,29,1940-08-01-PM-02:27,f5p7,1,0,,2,"TL: ""Kane's House - N.Y. (1901-1909) - Prod. #281-29""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""AUG 1 '40 PM"" and clock timestamp showing 02:27",,,,,,,,,,,,,,,,,
29-2-N,29,1940-08-01-PM-02:27,f5p7,0,1,,1,"TL: ""Kane's House - N.Y. (1901-1909) - Prod. #281-29""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""AUG 1 '40 PM"" and clock timestamp showing 02:27",,,,,,,,,,,,,,,,,
33-1-P,33,1940-08,f4p8,1,0,,2,"TL: ""Susan's 2nd Apt. - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
33-1-N,33,1940-08,f4p8,0,1,,1,"TL: ""Susan's 2nd Apt. - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
33-2-P,33,1940-08,f4p10,1,0,,2,"TL: ""Susan's 2nd Apt. - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
33-2-N,33,1940-08,f4p10,0,1,,1,"TL: ""Susan's 2nd Apt. - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
33-3-P,33,1940-08,f5p6,1,0,,2,"TL: ""Susan's 2nd Apt. - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""'; BR: ""8-40""",,,,,,,,,,,,,,,,,
33-3-N,33,1940-08,f5p6,0,1,,1,"TL: ""Susan's 2nd Apt. - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""'; BR: ""8-40""",,,,,,,,,,,,,,,,,
33-4-P,33,1940-08,f5p11,1,0,,2,"TL: ""Susan's 2nd Apt - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
33-4-N,33,1940-08,f5p11,0,1,,1,"TL: ""Susan's 2nd Apt - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
33-5-P,33,1940-08,f5p13,1,0,,2,"TL: ""Susan's 2nd Apt. - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
33-5-N,33,1940-08,f5p13,0,1,,1,"TL: ""Susan's 2nd Apt. - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
34-1-P,34,1940-08-02-PM-01:19,f5p5,1,0,,2,"TL: ""Section of N. Y. Street - Prod. #281-34""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane \n INT & EXT PUB.""; TR: ""Ranch""'; BR: ""AUG 2 '40 PM"" and clock timestamp showing 01:19",,,,,,,,,,,,,,,,,
34-1-N,34,1940-08-02-PM-01:19,f5p5,0,1,,1,"TL: ""Section of N. Y. Street - Prod. #281-34""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane \n INT & EXT PUB.""; TR: ""Ranch""'; BR: ""AUG 2 '40 PM"" and clock timestamp showing 01:19",,,,,,,,,,,,,,,,,
36-1-P,36,1940-10,f5p3,1,0,,2,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""10-40""",,,,,,,,,,,,,,,,,
36-1-N,36,1940-10,f5p3,0,1,,1,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""10-40""",,,,,,,,,,,,,,,,,
36-2-P,36,1940-10-15-AM-10:27,f6p5,1,0,,2,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""OCT 15 '40 AM"" and clock timestamp showing 10:27",,,,,,,,,,,,,,,,,
36-2-N,36,1940-10-15-AM-10:27,f6p5,0,1,,1,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""OCT 15 '40 AM"" and clock timestamp showing 10:27",,,,,,,,,,,,,,,,,
36-3-P,36,1940-10-15-AM-10:27,f6p6,1,0,,2,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""OCT 15 '40 AM"" and clock timestamp showing 10:27",,,,,,,,,,,,,,,,,
36-3-N,36,1940-10-15-AM-10:27,f6p6,0,1,,1,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""OCT 15 '40 AM"" and clock timestamp showing 10:27",,,,,,,,,,,,,,,,,
36-4-P,36,1940-10-15-AM-10:28,f6p3,1,0,,2,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""OCT 15 '40 AM"" and clock timestamp showing 10:28",,,,,,,,,,,,,,,,,
36-4-N,36,1940-10-15-AM-10:28,f6p3,0,1,,1,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""OCT 15 '40 AM"" and clock timestamp showing 10:28",,,,,,,,,,,,,,,,,
36-5-P,36,1940-10-15-PM,f8p11,1,0,,2,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 15 '40 PM""",,,,,,,,,,,,,,,,,
36-5-N,36,1940-10-15-PM,f8p11,0,1,,1,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 15 '40 PM""",,,,,,,,,,,,,,,,,
36-6-P,36,1940-10-16-PM,f7p19,1,0,,2,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",,,,,,,,,,,,,,,,,
36-6-N,36,1940-10-16-PM,f7p19,0,1,,1,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",,,,,,,,,,,,,,,,,
36-7-P,36,1940-10-16-PM,f7p20,1,0,,2,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",,,,,,,,,,,,,,,,,
36-7-N,36,1940-10-16-PM,f7p20,0,1,,1,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",,,,,,,,,,,,,,,,,
36-8-P,36,1940-10-16-PM,f8p1,1,0,,2,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",,,,,,,,,,,,,,,,,
36-8-N,36,1940-10-16-PM,f8p1,0,1,,1,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",,,,,,,,,,,,,,,,,
